label,definition,comment,exactSynonym,broadSynonym,narrowSynonym,relatedSynonym,subsetType,uri
melt pond,A water body which forms as a result of localised melting taking place on the surface of a glacier or a mass of sea ice and which is contained in the cavity formed by such melting.,,melt ponds|meltponds|meltpond,,,,envoPolar,http://purl.obolibrary.org/obo/ENVO_03000040
melting,Melting is a material transformation process which results in the phase transition of a substance from a solid to a liquid.,"Note that melting need not be due to warming, thus the classes are separated.",melting process,,,fusion,envoPolar,http://purl.obolibrary.org/obo/ENVO_01000723
methane clathrate,"A clathrate material in which a large amount of methane is trapped within a crystal structure of water, forming a solid similar to ice.",,methane ice|fire ice|natural gas hydrate|gas hydrate|hydromethane|methane hydrate,,,,envoPolar,http://purl.obolibrary.org/obo/ENVO_01000851
organic object formed through microbial activity,An organic object which is formed as a result of the biological processes mediated by microbial assemblages.,"A very generic class, intended to be populated by inference. Please avoid use in annotation, opting for a more descriptive term.",microbial feature,,,,envoPolar,http://purl.obolibrary.org/obo/ENVO_01000007
migration path,An ecological corridor through which organisms move during a migration process.,"This term refers to the ecosystem(s) the organisms traverse, rather than the spatial track they cover. The latter is better placed in a geospatial ontology.",migration corridor,,,migratory route,envoPolar,http://purl.obolibrary.org/obo/ENVO_01000931
alpine tundra biome,"A tundra biome which exists at high altitudes and where vegetation - dominated by a few species of dwarf shrubs, a few grasses, sedges, lichens, and mosses - is stunted due to low temperatures and high winds.","The absence of trees in this biome is primarily due to high altitude rather than high latitude. On Earth, it lies roughly between the summer isotherm of 10 degrees Centigrade and the snow line. Primary productivity is low in this biome because of the extremes of climate.",mountain tundra,,,,envoPolar,http://purl.obolibrary.org/obo/ENVO_01001505
natural harbor,A harbor which is formed by a natural landform where a part of a body of water is protected and deep enough to furnish anchorage.,,natural harbour,,,,envoPolar,http://purl.obolibrary.org/obo/ENVO_00000465
frazil,"Small, needle-like (spicules), plate-like, or discoid crystals derived from nearly pure fresh water, suspended in a water body.","Typically 3 to 4 millimeters in diameter. These may form in both marine water and fresh water. They represent the first stages of sea ice growth; they merge under calm conditions to form thin sheets of ice on the surface (frazil ice), and consist of nearly pure fresh water. In fresh water, they form in supercooled water that is too turbulent to permit coagulation into sheet ice.  This is most common in swiftly flowing streams. They may accumulate as anchor ice on submerged objects obstructing the water flow.",needle ice|frazil crystals,,,,envoPolar,http://purl.obolibrary.org/obo/ENVO_01001523
neve,"Partially compacted granular snow, which has undergone several cycles of melting and refreezing while being compacted, usually found on the atmosphere-exposed surface of a glacier.",Névé that survives a full season of ablation turns into firn.,névé,,,,envoPolar,http://purl.obolibrary.org/obo/ENVO_03000000
sea water environment,An environmental system determined by seawater.,,ocean water environment,,,,envoPolar,http://purl.obolibrary.org/obo/ENVO_01000321
